sigla,nome,mes_ref,data_divulgacao,pontos,delta_pts,url,titulo
ICE,Confiança Empresarial (ICE),2004-09,,115.3,-0.7000000000000028,,
ICE,Confiança Empresarial (ICE),2004-10,,114.7,-0.5999999999999943,,
ICE,Confiança Empresarial (ICE),2004-11,,113.8,-0.9000000000000057,,
ICE,Confiança Empresarial (ICE),2004-12,,111.7,-2.0999999999999943,,
ICE,Confiança Empresarial (ICE),2005-01,,109.4,-2.299999999999997,,
ICE,Confiança Empresarial (ICE),2005-02,,106.5,-2.9000000000000057,,
ICE,Confiança Empresarial (ICE),2005-03,,103.9,-2.5999999999999943,,
ICE,Confiança Empresarial (ICE),2005-04,,101.3,-2.6000000000000085,,
ICE,Confiança Empresarial (ICE),2005-05,,101.0,-0.29999999999999716,,
ICE,Confiança Empresarial (ICE),2005-06,,99.8,-1.2000000000000028,,
ICE,Confiança Empresarial (ICE),2005-07,,98.6,-1.2000000000000028,,
ICE,Confiança Empresarial (ICE),2005-08,,98.8,0.20000000000000284,,
ICE,Confiança Empresarial (ICE),2005-09,,99.0,0.20000000000000284,,
ICE,Confiança Empresarial (ICE),2005-10,,99.4,0.4000000000000057,,
ICE,Confiança Empresarial (ICE),2005-11,,97.0,-2.4000000000000057,,
ICE,Confiança Empresarial (ICE),2005-12,,100.0,3.0,,
ICE,Confiança Empresarial (ICE),2006-01,,100.6,0.5999999999999943,,
ICE,Confiança Empresarial (ICE),2006-02,,101.1,0.5,,
ICE,Confiança Empresarial (ICE),2006-03,,101.6,0.5,,
ICE,Confiança Empresarial (ICE),2006-04,,101.1,-0.5,,
ICE,Confiança Empresarial (ICE),2006-05,,97.9,-3.1999999999999886,,
ICE,Confiança Empresarial (ICE),2006-06,,100.7,2.799999999999997,,
ICE,Confiança Empresarial (ICE),2006-07,,102.7,2.0,,
ICE,Confiança Empresarial (ICE),2006-08,,101.7,-1.0,,
ICE,Confiança Empresarial (ICE),2006-09,,103.0,1.2999999999999972,,
