data_curva,PRAZO_DU,TAXA_PREF,TAXA_IPCA,data_ref
2025-12-16,504,13.1064,8.2265,2025-12-17
2025-12-16,630,13.1044,8.0596,2025-12-17
2025-12-16,756,13.1761,7.9612,2025-12-17
2025-12-16,882,13.2776,7.8901,2025-12-17
2025-12-16,1008,13.385,7.8292,2025-12-17
2025-12-16,1134,13.4856,7.7719,2025-12-17
2025-12-16,1260,13.5733,7.7163,2025-12-17
2025-12-16,1386,13.6451,7.6623,2025-12-17
2025-12-16,1512,13.7004,7.6102,2025-12-17
2025-12-16,1638,13.7393,7.5604,2025-12-17
2025-12-16,1764,13.7628,7.5133,2025-12-17
2025-12-16,1890,13.7718,7.4692,2025-12-17
2025-12-16,2016,13.7678,7.4279,2025-12-17
2025-12-16,2142,13.7521,7.3896,2025-12-17
